condition,year
baseline,2014
baseline,1993
baseline,1997
baseline,2008
baseline,2008
baseline,1984
baseline,1997
baseline,2001
baseline,2012
baseline,2014
baseline,2000
baseline,1951
baseline,1984
baseline,1951
baseline,1959
baseline,1986
baseline,1954
baseline,1958
baseline,1984
baseline,1951
baseline,1960
baseline,1980
baseline,1997
baseline,2008
baseline,1993
baseline,1999
baseline,1957
baseline,1997
baseline,1975
baseline,1999
baseline,1996
baseline,1940
baseline,1957
baseline,1957
baseline,1984
baseline,1934
baseline,1957
baseline,1954
baseline,1937
baseline,1942
baseline,1953
baseline,1999
baseline,1997
baseline,1999
baseline,2000
baseline,1996
baseline,1996
baseline,1999
baseline,1991
baseline,1998
baseline,1982
baseline,1997
baseline,1973
baseline,1959
baseline,1962
baseline,1997
baseline,1993
baseline,1967
baseline,1954
baseline,1984
baseline,1990
baseline,2016
baseline,1992
baseline,1972
baseline,2022
baseline,2014
baseline,1994
baseline,1995
baseline,1984
baseline,1996
baseline,2019
baseline,1998
baseline,1998
baseline,1999
baseline,1999
baseline,1996
baseline,2000
baseline,1999
baseline,1996
baseline,1997
baseline,1999
baseline,1995
baseline,1998
baseline,1998
baseline,1993
baseline,1997
baseline,1992
baseline,1991
baseline,1996
baseline,1996
baseline,1995
baseline,2001
baseline,1999
baseline,2003
baseline,2001
baseline,2004
baseline,1994
baseline,1992
baseline,1998
baseline,1991
baseline,2004
baseline,1992
baseline,1987
baseline,1993
baseline,1985
baseline,1979
baseline,1984
baseline,1992
baseline,1986
baseline,1999
baseline,1983
baseline,2014
baseline,2021
baseline,2021
baseline,2014
baseline,2009
baseline,2001
baseline,1995
baseline,2015
baseline,2015
baseline,2013
baseline,1992
baseline,1997
baseline,2002
baseline,1999
baseline,1993
baseline,1988
baseline,2000
baseline,2000
baseline,1969
baseline,1995
baseline,2015
baseline,2018
baseline,2016
baseline,2019
baseline,2010
baseline,1999
baseline,1971
baseline,2000
baseline,2000
baseline,2013
baseline,1987
baseline,1982
baseline,1987
baseline,1985
baseline,1986
baseline,1988
baseline,1984
baseline,1984
baseline,1992
baseline,1988
baseline,1982
baseline,1986
baseline,1977
baseline,1979
baseline,1971
baseline,1987
baseline,1984
baseline,1985
baseline,1980
baseline,1963
baseline,1954
baseline,1962
baseline,1951
baseline,1946
baseline,1969
baseline,1961
baseline,1953
baseline,1941
baseline,1992
baseline,1935
baseline,1974
baseline,2019
baseline,2019
baseline,1990
baseline,2016
baseline,2019
baseline,2003
baseline,1975
baseline,1962
baseline,1982
baseline,1994
baseline,1996
baseline,1987
baseline,1990
baseline,1986
baseline,1989
baseline,1984
baseline,1984
baseline,1999
baseline,1992
baseline,2008
baseline,2003
baseline,2012
baseline,2015
baseline,2018
baseline,2015
baseline,2012
baseline,2008
baseline,2015
baseline,1979
baseline,1983
baseline,1986
baseline,1968
baseline,1980
baseline,1970
baseline,1979
baseline,1979
baseline,1980
baseline,1996
baseline,1984
baseline,2001
baseline,2002
baseline,2018
baseline,2015
baseline,2022
baseline,2008
baseline,2004
baseline,2000
baseline,1982
baseline,2012
baseline,2016
baseline,1984
baseline,2005
baseline,2011
baseline,2012
baseline,2010
baseline,1977
baseline,1980
baseline,1975
baseline,1996
baseline,1983
baseline,1989
baseline,1981
baseline,1988
baseline,1990
baseline,1984
baseline,1986
baseline,1986
baseline,2005
baseline,1992
baseline,1974
baseline,1992
baseline,1979
baseline,1959
baseline,1980
baseline,2000
baseline,1999
baseline,1980
baseline,1994
baseline,1971
baseline,1996
baseline,1997
baseline,1998
baseline,2000
baseline,1999
baseline,1994
baseline,1994
baseline,1998
baseline,1994
baseline,1998
baseline,1997
baseline,1997
baseline,1988
baseline,2005
baseline,1993
baseline,2016
baseline,1993
baseline,1998
baseline,1980
baseline,1999
baseline,1995
baseline,1997
baseline,1998
baseline,1990
baseline,1997
baseline,1988
baseline,1997
baseline,1994
baseline,1993
baseline,1995
baseline,1997
baseline,1992
baseline,1995
baseline,1995
baseline,1987
baseline,1998
baseline,1992
baseline,1991
baseline,1998
baseline,1987
baseline,1997
baseline,1998
baseline,1993
baseline,1993
baseline,1988
baseline,2005
baseline,1996
baseline,2011
baseline,1993
baseline,1993
baseline,1959
baseline,1954
baseline,1948
baseline,1980
baseline,1984
baseline,1953
baseline,1962
baseline,1946
baseline,1975
baseline,1973
baseline,2010
baseline,2010
baseline,2015
baseline,2014
baseline,2001
baseline,2014
baseline,2006
baseline,2016
baseline,2001
baseline,2012
baseline,1994
baseline,2004
baseline,2014
baseline,2009
baseline,1993
baseline,1992
baseline,1982
baseline,2008
baseline,1987
baseline,1992
baseline,1997
baseline,2008
baseline,1975
baseline,1982
baseline,1956
baseline,1981
baseline,1996
baseline,1998
baseline,1976
baseline,2015
baseline,1983
baseline,1996
baseline,1974
baseline,1990
baseline,1958
baseline,1989
baseline,1986
baseline,1987
baseline,1985
baseline,1979
baseline,1985
baseline,1989
baseline,1989
baseline,1986
baseline,1985
baseline,1985
baseline,1985
baseline,2001
baseline,1984
baseline,1978
baseline,1979
baseline,1982
baseline,1985
baseline,1982
baseline,1987
baseline,1986
baseline,1963
baseline,1976
baseline,1977
baseline,1984
baseline,2020
baseline,2014
baseline,2008
baseline,1998
baseline,2000
baseline,2016
baseline,1999
baseline,1999
baseline,2014
baseline,2010
baseline,1979
baseline,1968
baseline,1980
baseline,1988
baseline,1979
baseline,1991
baseline,1994
baseline,1987
baseline,1970
baseline,1963
baseline,2003
baseline,2021
baseline,2021
baseline,2014
baseline,1997
baseline,2015
baseline,1995
baseline,2001
baseline,1943
baseline,2005
baseline,2019
baseline,2019
baseline,2016
baseline,2003
baseline,2019
baseline,2017
baseline,2021
baseline,1991
baseline,1964
baseline,1968
baseline,2016
baseline,2008
baseline,2018
baseline,2014
baseline,2015
baseline,2015
baseline,2010
baseline,2009
baseline,2018
baseline,2014
baseline,1951
baseline,1974
baseline,1957
baseline,1959
baseline,1946
baseline,1954
baseline,1978
baseline,1969
baseline,1967
baseline,1962
baseline,2016
baseline,1999
baseline,1990
baseline,2008
baseline,2016
baseline,2003
baseline,1994
baseline,2002
baseline,1998
baseline,2009
baseline,1985
baseline,1999
baseline,1982
baseline,1988
baseline,2002
baseline,1996
baseline,2003
baseline,1992
baseline,1989
baseline,1994
baseline,2023
baseline,1998
baseline,2014
baseline,1988
baseline,2009
baseline,1974
baseline,2002
baseline,2013
baseline,1996
baseline,2012
baseline,1995
baseline,1990
baseline,1971
baseline,1974
baseline,1993
baseline,1996
baseline,1997
baseline,1981
baseline,1962
baseline,1997
baseline,2015
baseline,2015
baseline,2017
baseline,2015
baseline,1984
baseline,1994
baseline,2014
baseline,2005
baseline,2018
baseline,1982
baseline,2001
baseline,2012
baseline,2016
baseline,2012
baseline,2003
baseline,2018
baseline,2005
baseline,2011
baseline,2009
baseline,2014
baseline,1997
baseline,1996
baseline,1997
baseline,1992
baseline,1999
baseline,1999
baseline,1974
baseline,1984
baseline,1994
baseline,1999
baseline,1990
baseline,1993
baseline,1986
baseline,1998
baseline,1995
baseline,1987
baseline,1995
baseline,1999
baseline,1978
baseline,2000
baseline,2000
baseline,2023
baseline,1995
baseline,2021
baseline,2021
baseline,2015
baseline,2013
baseline,2015
baseline,2008
baseline,2014
baseline,1987
baseline,1989
baseline,1990
baseline,1993
baseline,1993
baseline,1992
baseline,1995
baseline,1995
baseline,1987
baseline,1994
baseline,1997
baseline,1987
baseline,1992
baseline,1984
baseline,1975
baseline,1996
baseline,1998
baseline,1992
baseline,1997
baseline,1998
baseline,1986
baseline,1985
baseline,1980
baseline,1980
baseline,1976
baseline,1994
baseline,1997
baseline,1984
baseline,1996
baseline,1992
baseline,1954
baseline,1959
baseline,1950
baseline,1959
baseline,1962
baseline,1946
baseline,1951
baseline,1941
baseline,1946
baseline,1954
baseline,1985
baseline,1988
baseline,1991
baseline,2008
baseline,1995
baseline,1998
baseline,2004
baseline,1984
baseline,1999
baseline,1995
baseline,1997
baseline,1994
baseline,2003
baseline,2001
baseline,2008
baseline,1997
baseline,1998
baseline,2004
baseline,2014
baseline,2001
baseline,2017
baseline,2016
baseline,2019
baseline,2015
baseline,2012
baseline,2015
baseline,2010
baseline,2016
baseline,2018
baseline,2016
baseline,1996
baseline,1992
baseline,1994
baseline,1992
baseline,1985
baseline,1993
baseline,1975
baseline,1989
baseline,1988
baseline,1997
baseline,1980
baseline,1990
baseline,1974
baseline,1987
baseline,1971
baseline,1993
baseline,1978
baseline,1988
baseline,1980
baseline,1979
baseline,1982
baseline,1984
baseline,1963
baseline,1975
baseline,1981
baseline,1978
baseline,1976
baseline,1980
baseline,1968
baseline,1931
baseline,1987
baseline,1984
baseline,2020
baseline,2016
baseline,2000
baseline,1976
baseline,2005
baseline,2011
baseline,2010
baseline,2012
baseline,1996
baseline,2019
baseline,1994
baseline,2019
baseline,2011
baseline,2016
baseline,2010
baseline,1993
baseline,1996
baseline,1995
baseline,1974
baseline,2016
baseline,2019
baseline,1990
baseline,2008
baseline,2019
baseline,1998
baseline,2019
baseline,2004
baseline,2016
baseline,1997
baseline,2015
baseline,2017
baseline,1984
baseline,2015
baseline,2015
baseline,1981
baseline,1982
baseline,1994
baseline,1993
baseline,2018
baseline,2015
baseline,2002
baseline,2004
baseline,1982
baseline,2000
baseline,2017
baseline,1994
baseline,2015
baseline,2016
baseline,1994
baseline,1984
baseline,1997
baseline,2015
baseline,1982
baseline,2017
baseline,1998
baseline,2015
baseline,2014
baseline,1989
baseline,1979
baseline,1941
baseline,1962
baseline,1984
baseline,1987
baseline,1969
baseline,1980
baseline,1957
baseline,1976
baseline,1961
baseline,1998
baseline,1975
baseline,1995
baseline,1997
baseline,2010
baseline,1990
baseline,1998
baseline,2011
baseline,2000
baseline,2000
baseline,2020
baseline,1975
baseline,1997
baseline,2010
baseline,1992
baseline,2011
baseline,2012
baseline,2005
baseline,1994
baseline,1996
baseline,2002
baseline,1995
baseline,1999
baseline,1988
baseline,1985
baseline,2008
baseline,1991
baseline,1996
baseline,1999
baseline,1992
baseline,1997
baseline,1997
baseline,1988
baseline,1993
baseline,2005
baseline,1998
baseline,2016
baseline,1980
baseline,1993
baseline,2014
baseline,2008
baseline,2001
baseline,2010
baseline,2008
baseline,2010
baseline,2001
baseline,2004
baseline,2011
baseline,2015
baseline,2013
baseline,1970
baseline,1964
baseline,1988
baseline,1980
baseline,1968
baseline,1960
baseline,1994
baseline,1966
baseline,1931
baseline,1933
baseline,1996
baseline,1995
baseline,1997
baseline,1998
baseline,1990
baseline,1998
baseline,1992
baseline,1995
baseline,1997
baseline,1990
baseline,1998
baseline,1996
baseline,1990
baseline,1999
baseline,1995
baseline,1997
baseline,2000
baseline,1999
baseline,1994
baseline,1997
baseline,2016
baseline,2007
baseline,2004
baseline,2006
baseline,2014
baseline,2013
baseline,2003
baseline,2006
baseline,2009
baseline,2010
baseline,1983
baseline,2019
baseline,1974
baseline,1992
baseline,1981
baseline,1995
baseline,1958
baseline,1988
baseline,1985
baseline,2017
baseline,1998
baseline,2011
baseline,2010
baseline,2018
baseline,2008
baseline,1997
baseline,2014
baseline,2019
baseline,2002
baseline,1997
baseline,1994
baseline,1993
baseline,1988
baseline,1990
baseline,1992
baseline,1992
baseline,1992
baseline,1995
baseline,1997
baseline,1999
baseline,1989
baseline,2002
baseline,2000
baseline,1984
baseline,2007
baseline,1989
baseline,1988
baseline,2000
baseline,2003
baseline,2000
baseline,2016
baseline,2005
baseline,2004
baseline,1997
baseline,2008
baseline,1991
baseline,2000
baseline,1995
baseline,1997
baseline,2023
baseline,1962
baseline,1959
baseline,1957
baseline,1942
baseline,1951
baseline,1948
baseline,1954
baseline,1933
baseline,1961
baseline,1951
baseline,2011
baseline,2002
baseline,2006
baseline,2001
baseline,2002
baseline,2010
baseline,2011
baseline,2013
baseline,2008
baseline,2010
baseline,1985
baseline,1984
baseline,1984
baseline,1995
baseline,1981
baseline,1979
baseline,1981
baseline,1996
baseline,1981
baseline,1994
baseline,1989
baseline,2000
baseline,2001
baseline,1984
baseline,1995
baseline,2002
baseline,1963
baseline,1998
baseline,1973
baseline,2006
baseline,1997
baseline,1998
baseline,1995
baseline,1992
baseline,1989
baseline,1997
baseline,1988
baseline,1992
baseline,1996
baseline,1994
baseline,1941
baseline,1962
baseline,1961
baseline,1949
baseline,1979
baseline,1954
baseline,1957
baseline,1931
baseline,1969
baseline,1957
baseline,1997
baseline,1984
baseline,2015
baseline,1990
baseline,1998
baseline,2017
baseline,1995
baseline,2000
baseline,1998
baseline,2015
baseline,1986
baseline,1989
baseline,1983
baseline,1973
baseline,1987
baseline,1986
baseline,1985
baseline,1994
baseline,1999
baseline,1986
baseline,2020
baseline,2010
baseline,2015
baseline,2013
baseline,2008
baseline,2018
baseline,1999
baseline,1956
baseline,2017
baseline,2017
baseline,1987
baseline,1979
baseline,1971
baseline,1968
baseline,1976
baseline,1960
baseline,1985
baseline,1968
baseline,2000
baseline,1973
baseline,1997
baseline,1997
baseline,1988
baseline,2005
baseline,2016
baseline,1993
baseline,1980
baseline,1998
baseline,1993
baseline,2014
baseline,1987
baseline,1984
baseline,1975
baseline,1989
baseline,1982
baseline,2004
baseline,2000
baseline,1986
baseline,1997
baseline,1999
baseline,1996
baseline,1990
baseline,2000
baseline,1979
baseline,1958
baseline,1985
baseline,1989
baseline,1988
baseline,1989
baseline,1993
baseline,1997
baseline,1994
baseline,1994
baseline,2022
baseline,2021
baseline,1986
baseline,1979
baseline,1984
baseline,1998
baseline,1995
baseline,1988
baseline,1994
baseline,1990
baseline,1999
baseline,1999
baseline,1993
baseline,1995
baseline,1992
baseline,1995
baseline,1980
baseline,2012
baseline,2009
baseline,2005
baseline,2014
baseline,2006
baseline,2014
baseline,2013
baseline,2006
baseline,2010
baseline,2002
baseline,1999
baseline,2000
baseline,2000
baseline,2000
baseline,2000
baseline,1997
baseline,1996
baseline,1989
baseline,1998
baseline,2000
baseline,1997
baseline,1998
baseline,1997
baseline,1998
baseline,1993
baseline,1994
baseline,1997
baseline,1990
baseline,1997
baseline,1994
baseline,1997
baseline,1992
baseline,1996
baseline,1996
baseline,1999
baseline,1995
baseline,1998
baseline,1990
baseline,1994
baseline,1994
baseline,2001
baseline,2001
baseline,2001
baseline,2015
baseline,2015
baseline,2004
baseline,1999
baseline,2005
baseline,2008
baseline,2012
baseline,2009
baseline,2000
baseline,1997
baseline,2005
baseline,1998
baseline,1995
baseline,1997
baseline,2010
baseline,2002
baseline,1995
baseline,1983
baseline,1974
baseline,1980
baseline,1984
baseline,1979
baseline,1988
baseline,1985
baseline,1987
baseline,1987
baseline,2018
baseline,1997
baseline,1992
baseline,1999
baseline,2000
baseline,2002
baseline,1994
baseline,1993
baseline,2000
baseline,1995
baseline,2000
baseline,2000
baseline,2000
baseline,1995
baseline,2002
baseline,2007
baseline,2000
baseline,1993
baseline,1995
baseline,1997
baseline,2000
baseline,2018
baseline,1995
baseline,2015
baseline,2004
baseline,2002
baseline,1994
baseline,1982
baseline,2017
baseline,2000
baseline,1992
baseline,1998
baseline,1997
baseline,1999
baseline,1997
baseline,1995
baseline,1992
baseline,1996
baseline,1999
baseline,1993
baseline,1995
baseline,2021
baseline,2021
baseline,2009
baseline,2017
baseline,2010
baseline,2015
baseline,2013
baseline,1999
baseline,2001
baseline,2008
baseline,1979
baseline,1986
baseline,1967
baseline,1974
baseline,1954
baseline,1960
baseline,1962
baseline,1967
baseline,1970
baseline,1986
baseline,2019
baseline,2019
baseline,1990
baseline,2017
baseline,2016
baseline,2010
baseline,2019
baseline,1998
baseline,2021
baseline,1975
baseline,1997
baseline,1992
baseline,1989
baseline,2022
baseline,1982
baseline,1998
baseline,1997
baseline,2019
baseline,2021
baseline,1992
baseline,2012
baseline,1997
baseline,1993
baseline,2013
baseline,2002
baseline,1998
baseline,1993
baseline,2006
baseline,2013
baseline,1993
baseline,1997
baseline,2000
baseline,1987
baseline,1999
baseline,1995
baseline,1995
baseline,1989
baseline,1996
baseline,1996
baseline,1994
baseline,2008
baseline,2012
baseline,2018
baseline,2009
baseline,2020
baseline,2018
baseline,2017
baseline,2019
baseline,2017
baseline,2006
baseline,1996
baseline,1993
baseline,1996
baseline,1962
baseline,1957
baseline,1951
baseline,1994
baseline,1998
baseline,1980
baseline,1996
baseline,1992
baseline,1993
baseline,1996
baseline,1997
baseline,1997
baseline,1999
baseline,2000
baseline,1990
baseline,1999
baseline,1995
baseline,2009
baseline,2007
baseline,2002
baseline,2013
baseline,2004
baseline,2001
baseline,2012
baseline,2001
baseline,2006
baseline,2017
baseline,1985
baseline,1991
baseline,1996
baseline,1992
baseline,1992
baseline,1991
baseline,1993
baseline,1986
baseline,1989
baseline,1995
baseline,1996
baseline,1993
baseline,1967
baseline,1998
baseline,1986
baseline,1989
baseline,1997
baseline,1995
baseline,1984
baseline,1967
baseline,1995
baseline,2009
baseline,2015
baseline,2000
baseline,2014
